RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
751;20150313;Kvinde;54;50-59 år;Nordjylland;1227;Terror;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Venstre;1,5790816550
752;20150313;Kvinde;74;70++ år;Hovedstaden;900;indvandrerspørgsmål;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Venstre;0,9684055531
753;20150314;Kvinde;59;50-59 år;Midtjylland;100;økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;700.000-799.999 kr.;Venstre;0,7938524619
754;20150315;Kvinde;73;70++ år;Midtjylland;300;sundhed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,1031383640
755;20150314;Mand;37;30-39 år;Syddanmark;900;integration;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,1115198076
760;20150316;Mand;45;40-49 år;Sjælland;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,9866676016
761;20150313;Mand;67;60-69 år;Sjælland;900;indvandring af folk der råber asyl;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(O) Dansk Folkeparti;;Vil ikke svare;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,6103290158
764;20150313;Kvinde;61;60-69 år;Sjælland;100;økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;Vil ikke oplyse;Venstre;1,4155294027
765;20150313;Mand;66;60-69 år;Midtjylland;900;Asyl politik;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;Ved ikke;(V) Venstre;Grundskole;Ingen;400.000-499.999 kr.;Venstre;0,9369763345
767;20150313;Kvinde;60;60-69 år;Hovedstaden;505;Den danske models undergang;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,9016590340
768;20150313;Mand;61;60-69 år;Midtjylland;100;Manglende vækst;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;Ved ikke;(F) Socialistisk Folkeparti - SF;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Socialistisk Folkeparti - SF;0,4067904672
770;20150313;Mand;40;40-49 år;Hovedstaden;1302;forskel imellem rig og fattig;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;2 børn;400.000-499.999 kr.;Socialdemokraterne;0,5342130822
771;20150313;Mand;55;50-59 år;Hovedstaden;210;At vi har en statskirke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;2 børn;800.000-899.999 kr.;Venstre;0,7936711527
785;20150313;Mand;68;60-69 år;Hovedstaden;2400;De nationalistiske strømninger. Dette gælder ikke kun DK men hele Europa og i særdeleshed Rusland.;Venstre ledet regering;Venstre ledet regering;Ved ikke;(A) Socialdemokraterne;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Venstre;0,4597204185
787;20150313;Kvinde;69;60-69 år;Nordjylland;900;At vi finder ud af at tage godt imod de flygtninge der kommer til Danmark. Vi har selv været med i krigen derude, og hvad er det kommet ud af det.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,3307462974
788;20150313;Kvinde;50;50-59 år;Midtjylland;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Dansk Folkeparti;1,0101645575
792;20150313;Mand;29;18-29 år;Hovedstaden;900;Integration af indvandrere;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;Ved ikke;Ved ikke;Lang videregående 5 år;Ingen;600.000-699.999 kr.;;0,7883847499
793;20150315;Kvinde;37;30-39 år;Sjælland;2400;Egoisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Socialdemokraterne;0,9522724989
794;20150313;Mand;41;40-49 år;Hovedstaden;1300;velfærd;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5342130822
797;20150313;Kvinde;61;60-69 år;Midtjylland;1227;At behandle terrortruslen på en ordentlig måde;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialistisk Folkeparti - SF;0,4916125880
800;20150313;Mand;54;50-59 år;Midtjylland;900;Indvandrer;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Grundskole;Ingen;900.000-999.999 kr.;Dansk Folkeparti;1,0660647837
801;20150316;Mand;63;60-69 år;Syddanmark;2199;Folketingsvalg;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,6099761349
808;20150313;Kvinde;72;70++ år;Midtjylland;201;Vores manglende evne og vilje til at se nuanceret på flygtninge / integrationspolitikken.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;Ingen;Vil ikke oplyse;Socialdemokraterne;0,8955653123
811;20150314;Mand;76;70++ år;Syddanmark;.;Det ved jeg ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;1,1694949040
813;20150313;Kvinde;66;60-69 år;Syddanmark;.;ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;200.000-299.999 kr.;Venstre;1,0341482704
815;20150313;Mand;42;40-49 år;Sjælland;107;for høj skat;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;2 børn;500.000-599.999 kr.;Dansk Folkeparti;1,2583873119
819;20150313;Kvinde;30;30-39 år;Syddanmark;.;-;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;300.000-399.999 kr.;Venstre;1,8844641820
823;20150314;Kvinde;66;60-69 år;Hovedstaden;1808;Vores gæld til udlandet. Arbejdsløsheden, for hvordan skal vi skaffe arbejde til flygtningene som kommer i fremtiden,når vi ikke har skaffet arbejde til de der er her i forvejen.;Ved ikke;Ved ikke;Ved ikke;Husker ikke;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Socialdemokraterne;0,3960298108
827;20150313;Mand;65;60-69 år;Midtjylland;103;Arbejdsløsheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,6678981827
828;20150313;Mand;58;50-59 år;Midtjylland;103;Arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,1530737265
829;20150313;Mand;75;70++ år;Sjælland;900;Antallet af indvandrere og flygtninge der ingen arbejde har fordi de ingen uddannelse har og at der ikke er bolig til alle.;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;100.000-199.999 kr.;Venstre;0,8290679066
832;20150313;Kvinde;52;50-59 år;Syddanmark;506;Få de unge igang med uddannelse og i job;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;700.000-799.999 kr.;Venstre;1,3998661992
835;20150313;Mand;48;40-49 år;Hovedstaden;1302;Den sociale ulighed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;Vil ikke stemme;Ved ikke;Grundskole;Ingen;Under 100.000 kr.;;1,1627242747
840;20150313;Kvinde;70;70++ år;Sjælland;900;Asylansøgere;Ved ikke;Ved ikke;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;Venstre;0,8937169740
843;20150314;Kvinde;24;18-29 år;Sjælland;900;ulændinge loven;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1221602384
847;20150313;Kvinde;82;70++ år;Sjælland;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,6260675618
852;20150315;Kvinde;69;60-69 år;Hovedstaden;900;integrationen;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Dansk Folkeparti;0,3307462974
853;20150313;Kvinde;44;40-49 år;Nordjylland;.;dwa;Ved ikke;Ved ikke;Ved ikke;(C) Konservative Folkeparti;Kandidat uden for partierne;;Vil ikke svare;1 barn;400.000-499.999 kr.;Øvrige;1,3236415398
854;20150313;Kvinde;64;60-69 år;Sjælland;103;arbejdsløshed;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;Vil ikke oplyse;Enhedslisten;1,0452515624
856;20150314;Mand;48;40-49 år;Syddanmark;900;Udlænding og integration;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;Ved ikke;(O) Dansk Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,7208336002
859;20150313;Kvinde;21;18-29 år;Nordjylland;900;Indvandrere;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;900.000-999.999 kr.;Venstre;2,5049536222
861;20150313;Mand;26;18-29 år;Midtjylland;103;Arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;Ved ikke;(V) Venstre;Gymnasie, HF eller lignende;1 barn;300.000-399.999 kr.;Venstre;1,6334055963
866;20150313;Kvinde;66;60-69 år;Sjælland;900;Flygtninge uden arbejde;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Socialistisk Folkeparti - SF;0,6145551630
867;20150313;Mand;34;30-39 år;Nordjylland;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;600.000-699.999 kr.;Venstre;1,7589508993
869;20150314;Mand;64;60-69 år;Nordjylland;100;økonomi;Venstre ledet regering;Venstre ledet regering;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Ved ikke;Dansk Folkeparti;0,4987856222
881;20150313;Kvinde;69;60-69 år;Midtjylland;.;ved ikke;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Vil ikke svare;Vil ikke svare;;Gymnasie, HF eller lignende;Ingen;Vil ikke oplyse;;0,7576123066
890;20150313;Mand;68;60-69 år;Syddanmark;1227;Terror fra islamiske fundamentalister;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;100.000-199.999 kr.;Venstre;0,3307462974
893;20150315;Mand;57;50-59 år;Sjælland;103;Arbejde til alle , både indvandre , udlændinge og danskere. Hvor vil de finde så mange arbejdspladser ???????;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;Stemme blankt;(Ø) Enhedslisten;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;1,1707715359
898;20150316;Mand;63;60-69 år;Syddanmark;505;billig arbejdskraft fra øst europa;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,6099761349
903;20150313;Mand;44;40-49 år;Hovedstaden;900;indvandring og østeuropæisk arbejdere;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;700.000-799.999 kr.;Dansk Folkeparti;0,9536426230
907;20150313;Mand;55;50-59 år;Syddanmark;1227;Terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Husker ikke;Ved ikke;(K) Kristendemokraterne;Vil ikke svare;3 børn;Vil ikke oplyse;Kristendemokraterne;1,0230387655
908;20150314;Mand;65;60-69 år;Syddanmark;500;Forringelse af arbejds og lønvilkår for de lavestlønnede;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;800.000-899.999 kr.;Socialdemokraterne;0,4782659904
909;20150316;Kvinde;43;40-49 år;Midtjylland;103;Arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Gymnasie, HF eller lignende;1 barn;200.000-299.999 kr.;Enhedslisten;0,8676521182
911;20150313;Kvinde;77;70++ år;Midtjylland;100;Styr på Økonomien.     Styr på religion.;Ved ikke;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(V) Venstre;;Grundskole;Ingen;100.000-199.999 kr.;Venstre;1,9737491975
922;20150316;Kvinde;50;50-59 år;Syddanmark;103;Arbejdsløsheden;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,2726588254
924;20150313;Mand;59;50-59 år;Midtjylland;403;fødevare sikkerhed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,9040950292
931;20150313;Kvinde;58;50-59 år;Midtjylland;.;social skævvridning;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;700.000-799.999 kr.;Socialdemokraterne;1,3935087278
936;20150315;Mand;37;30-39 år;Hovedstaden;1227;Terror og fremmedearbejder;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;1,7339569925
941;20150313;Kvinde;55;50-59 år;Nordjylland;2099;hvis vi får en venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,4355893096
948;20150313;Kvinde;18;18-29 år;Syddanmark;705;Klimaforandringer;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;Ved ikke;Socialistisk Folkeparti - SF;3,0067845221
949;20150316;Mand;63;60-69 år;Hovedstaden;103;Arbejdsløsheden;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(V) Venstre;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,3307462974
958;20150313;Mand;44;40-49 år;Midtjylland;100;Krisen som endnu ikke er ovre;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;4 børn ++;600.000-699.999 kr.;Venstre;1,1976336146
959;20150316;Kvinde;22;18-29 år;Midtjylland;1300;Pres på velfærdssamfund;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Ved ikke;Havde ikke stemmeret;Har ikke stemmeret;;Gymnasie, HF eller lignende;Ingen;Under 100.000 kr.;;1,1024187427
961;20150313;Kvinde;43;40-49 år;Syddanmark;2099;at der er gået valgkamp i den;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;1.000.000 kr. eller derover;Venstre;1,3218393203
965;20150313;Kvinde;62;60-69 år;Sjælland;100;Økonomi;Ved ikke;Ved ikke;Ved ikke;(V) Venstre;Ved ikke;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;;0,7791480764
966;20150313;Kvinde;67;60-69 år;Sjælland;100;økonomi;Ved ikke;Socialdemokratisk ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,9328837048
967;20150313;Mand;59;50-59 år;Syddanmark;900;Flygtninge;Venstre ledet regering;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;600.000-699.999 kr.;Dansk Folkeparti;0,9736136376
975;20150314;Kvinde;68;60-69 år;Midtjylland;1808;AT kronen holder sin værdi;Ved ikke;Venstre ledet regering;Venstre ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Radikale Venstre;0,6842142786
983;20150313;Kvinde;71;70++ år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(A) Socialdemokraterne;;Vil ikke svare;Ingen;Vil ikke oplyse;Socialdemokraterne;1,3440519978
986;20150313;Mand;35;30-39 år;Hovedstaden;.;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;Har ikke stemmeret;;Grundskole;Ingen;Vil ikke oplyse;;1,4693675429
993;20150313;Kvinde;27;18-29 år;Syddanmark;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Vil ikke svare;Grundskole;Ingen;Vil ikke oplyse;;1,7843567694
996;20150314;Kvinde;72;70++ år;Hovedstaden;900;afradikalisering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Anden uddannelse;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1896419111
997;20150314;Mand;50;50-59 år;Syddanmark;1927;krigen mod IS;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Kort videregående 1-2 år;2 børn;500.000-599.999 kr.;Dansk Folkeparti;0,3307462974
1000;20150313;Kvinde;68;60-69 år;Sjælland;900;indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Vil ikke svare;Vil ikke svare;;Grundskole;Ingen;400.000-499.999 kr.;;1,4878586921
1005;20150314;Mand;64;60-69 år;Hovedstaden;505;Social domping;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Dansk Folkeparti;0,5849870669
1015;20150313;Kvinde;50;50-59 år;Syddanmark;1227;terro;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Husker ikke;Ved ikke;Ved ikke;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;;0,5089637892
1016;20150313;Mand;68;60-69 år;Syddanmark;1300;For store offentlige udgifter - og for meget offentlig kontrol;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;Vil ikke svare;Vil ikke svare;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;;0,3652464053
1020;20150313;Mand;21;18-29 år;Nordjylland;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Gymnasie, HF eller lignende;Ingen;Under 100.000 kr.;Liberal Alliance (tidligere Ny Alliance);1,6655640544
1021;20150313;Kvinde;66;60-69 år;Hovedstaden;900;flygninge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974
1028;20150313;Kvinde;50;50-59 år;Syddanmark;900;flygtninge;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(Ø) Enhedslisten;;Grundskole;Ingen;200.000-299.999 kr.;Enhedslisten;1,3183550772
1033;20150316;Mand;42;40-49 år;Syddanmark;900;Indvandring og kriminalitet udefra;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Kort videregående 1-2 år;2 børn;1.000.000 kr. eller derover;Dansk Folkeparti;0,3307462974
1034;20150316;Mand;71;70++ år;Nordjylland;1806;konkurrencen fra udlandet;Venstre ledet regering;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Anden uddannelse;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,7759931171
1036;20150313;Kvinde;56;50-59 år;Midtjylland;900;Flygtninge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Enhedslisten;0,5861946400
1041;20150316;Mand;58;50-59 år;Hovedstaden;1303;Ældre uden arbejde;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;300.000-399.999 kr.;Venstre;0,7079427846
1044;20150313;Mand;62;60-69 år;Midtjylland;1302;"Den ulige fordeling af goderne i samfundet. Uligheden mellem ""høj og lav"". Og den stadige højredrejning.";Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,5236807200
1066;20150314;Mand;41;40-49 år;Syddanmark;900;indvandring , velfærets forfald pga. samme;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Anden uddannelse;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,6433803992
1069;20150313;Kvinde;31;30-39 år;Hovedstaden;2002;Ineffektiv offentlig sektor;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;400.000-499.999 kr.;Venstre;1,1517316202
1076;20150313;Kvinde;64;60-69 år;Hovedstaden;.;Ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;200.000-299.999 kr.;Venstre;1,3681496935
1079;20150313;Mand;52;50-59 år;Midtjylland;900;indvandrer;Ved ikke;Ved ikke;Ved ikke;Stemte blankt;Stemme blankt;(F) Socialistisk Folkeparti - SF;Grundskole;Ingen;100.000-199.999 kr.;Socialistisk Folkeparti - SF;1,7294405713
1082;20150316;Mand;56;50-59 år;Midtjylland;.;Mange;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,9040950292
1083;20150313;Mand;57;50-59 år;Syddanmark;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Dansk Folkeparti;0,7633836145
1088;20150316;Kvinde;60;60-69 år;Syddanmark;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,7371658257
