RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
2899;20150315;Mand;70;70++ år;Nordjylland;.;Scoc;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,1993394146
2901;20150315;Mand;83;70++ år;Syddanmark;100;at føre en økonomisk politik der sikre en stabil økonomi.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,8336439478
2903;20150315;Mand;70;70++ år;Nordjylland;103;Der er mange mennesker der bliver fyret !;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,1993394146
2906;20150315;Kvinde;50;50-59 år;Syddanmark;100;Krise;Venstre ledet regering;Venstre ledet regering;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,4778051603
2907;20150315;Mand;53;50-59 år;Nordjylland;900;for stor indvandring;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,8611145324
2910;20150315;Kvinde;76;70++ år;Nordjylland;1302;at der bliver større forskel mellem rigdom og fattigdom i Danmark;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(Ø) Enhedslisten;Alternativet;;Grundskole;Ingen;100.000-199.999 kr.;Alternativet;1,7680884053
2911;20150316;Mand;56;50-59 år;Sjælland;107;skat;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Mellemlang videregående 3-4 år;Ingen;1.000.000 kr. eller derover;Konservative Folkeparti;0,9014738417
2912;20150315;Mand;58;50-59 år;Nordjylland;400;Økonomisk krise i landbrugserhvervet.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;Ved ikke;(O) Dansk Folkeparti;Gymnasie, HF eller lignende;Ingen;600.000-699.999 kr.;Dansk Folkeparti;0,6990816931
2917;20150315;Mand;70;70++ år;Hovedstaden;900;Integration;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(C) Konservative Folkeparti;;Lang videregående 5 år;Ingen;600.000-699.999 kr.;Konservative Folkeparti;0,7846743332
2921;20150315;Mand;53;50-59 år;Syddanmark;900;terrortruslen;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;700.000-799.999 kr.;Dansk Folkeparti;0,9736136376
2924;20150315;Mand;52;50-59 år;Hovedstaden;900;fremmede;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;600.000-699.999 kr.;Dansk Folkeparti;1,2880626403
2934;20150316;Mand;31;30-39 år;Syddanmark;1302;uligheden i samfundet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Lang videregående 5 år;2 børn;300.000-399.999 kr.;Socialdemokraterne;0,5134878571
2942;20150317;Kvinde;39;30-39 år;Hovedstaden;2400;den større grad af egoisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;Ved ikke;Ved ikke;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;;0,8085304426
2945;20150315;Kvinde;81;70++ år;Syddanmark;103;arbejdsløshed blandt indvandrere.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,2849205847
2951;20150315;Mand;42;40-49 år;Sjælland;900;Indvandring og ekstrem kapitalisme;Venstre ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;3 børn;600.000-699.999 kr.;Dansk Folkeparti;0,5110061015
2961;20150315;Kvinde;73;70++ år;Hovedstaden;1227;Terrortruslen og at håndtere flygtningene rigtigt;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Grundskole;Ingen;300.000-399.999 kr.;Konservative Folkeparti;2,6180140989
