RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
856,20150119,Kvinde,69,60-69 år,Syddanmark,økonomien,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.4427997579
864,20150116,Mand,56,50-59 år,Midtjylland,Faldende Oliepriser,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,1.0973287322
865,20150116,Mand,55,50-59 år,Midtjylland,"terror,",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,500.000-599.999 kr.,Venstre,0.3351068263
866,20150119,Kvinde,73,70 år ++,Sjælland,valget,Ved ikke,Ved ikke,Ved ikke,(B) Radikale Venstre,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,,0.5015798971
867,20150116,Mand,72,70 år ++,Sjælland,Manglende arbejdspladser,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Socialdemokraterne,0.4568361299
868,20150116,Mand,68,60-69 år,Sjælland,Det 0fentlig forbrug og skattetryk,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.3351068263
875,20150118,Mand,52,50-59 år,Hovedstaden,færgeforliget for Bornholm,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Andre partier,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Øvrige,0.3351068263
877,20150116,Mand,66,60-69 år,Midtjylland,"manglende job til alle selvom det er en del af vores grundlov at der skal være job til alle, men så længe vi skal kæpe med gridske arbejdtsgivere som kun tænker på at få udenlandsk arbejdtskraft ind og undertrykke vore værdier så giver det jo ingen mening. DE SKAL SKAMME SIG husk på at det er os danske som har knoklet for at lave dette gode samfund som de nu er ved at splitte fuldstendig ad fy for fanden da",Ved ikke,Ved ikke,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.3351068263
885,20150119,Kvinde,78,70 år ++,Hovedstaden,terror truslen,Ved ikke,Venstre ledet regering,Ved ikke,(V) Venstre,(O) Dansk Folkeparti,,Lang videregående 5 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.3668675870
887,20150116,Kvinde,67,60-69 år,Sjælland,Social ulighed,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,Lang videregående 5 år,Ingen,Vil ikke oplyse,Radikale Venstre,0.5793899498
892,20150116,Kvinde,65,60-69 år,Hovedstaden,Bedre forhold for erhvervslivet,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.3912941215
895,20150117,Mand,22,18-29 år,Hovedstaden,indvandre,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,1.8093004403
897,20150116,Kvinde,42,40-49 år,Hovedstaden,?,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Socialdemokraterne,2.6724656691
899,20150117,Mand,64,60-69 år,Sjælland,De mange asylansøgere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,800.000-899.999 kr.,Venstre,0.6476439932
900,20150117,Kvinde,51,50-59 år,Syddanmark,g,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,1.0455709705
902,20150117,Mand,39,30-39 år,Syddanmark,russland/Ukraine krisen,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,Havde ikke stemmeret,(O) Dansk Folkeparti,,Kort videregående 1-2 år,1 barn,200.000-299.999 kr.,Dansk Folkeparti,0.4939415662
904,20150118,Kvinde,53,50-59 år,Hovedstaden,Flygtninge,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,900.000-999.999 kr.,Socialdemokraterne,1.4414714419
913,20150116,Kvinde,72,70 år ++,Midtjylland,terror,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.2982953330
914,20150116,Kvinde,70,70 år ++,Sjælland,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.3475770442
915,20150116,Kvinde,69,60-69 år,Midtjylland,Fremmedhad,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.3351068263
919,20150117,Mand,52,50-59 år,Midtjylland,fremmehad,Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,Ved ikke,(Ø) Enhedslisten,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Enhedslisten,0.8523354886
924,20150117,Kvinde,38,30-39 år,Sjælland,økonomi,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,500.000-599.999 kr.,Enhedslisten,3.0464256936
925,20150116,Mand,71,70 år ++,Sjælland,Klima,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Venstre,0.4864899612
926,20150119,Kvinde,58,50-59 år,Sjælland,Flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Mellemlang videregående 3-4 år,1 barn,900.000-999.999 kr.,Konservative Folkeparti,0.4194513613
931,20150116,Mand,74,70 år ++,Hovedstaden,arbejdsmarket,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,1.2590380998
933,20150117,Kvinde,59,50-59 år,Hovedstaden,ved ikke,Ved ikke,Ved ikke,Ved ikke,Stemte ikke,Vil ikke stemme,Ved ikke,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,,0.3906098028
934,20150116,Mand,73,70 år ++,Nordjylland,flygtninge og indvandrer(muslimer),Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Venstre,0.5610142429
939,20150116,Kvinde,51,50-59 år,Syddanmark,terrorrister,Ved ikke,Ved ikke,Ved ikke,Stemte ikke,Ved ikke,Ved ikke,Grundskole,Ingen,Vil ikke oplyse,,1.3051912998
940,20150116,Kvinde,54,50-59 år,Syddanmark,arbejdsløsheden,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Socialdemokraterne,1.1999946982
943,20150116,Mand,59,50-59 år,Midtjylland,flygtninge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.3666552278
944,20150117,Mand,48,40-49 år,Sjælland,Klimaforandringer,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Gymnasie, HF eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.8044899526
945,20150116,Mand,37,30-39 år,Syddanmark,Social Ulighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Vil ikke svare,Ingen,200.000-299.999 kr.,Enhedslisten,1.8537161511
947,20150119,Kvinde,62,60-69 år,Midtjylland,økonomisk ulighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Socialdemokraterne,0.3351068263
949,20150116,Mand,70,70 år ++,Syddanmark,beskæftigelse,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Venstre,0.4655512369
951,20150118,Kvinde,73,70 år ++,Syddanmark,bevare danske arbejdspladser med produktion af danske varer f.eks.indenfor fødevarer,Socialdemokratisk ledet regering,Ved ikke,Ved ikke,Vil ikke svare,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,1.1507789511
955,20150116,Kvinde,58,50-59 år,Midtjylland,Mange flygtninge og terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Venstre,1.1796005962
957,20150118,Kvinde,33,30-39 år,Midtjylland,Vores værdier som mennesker,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,"Gymnasie, HF eller lignende",Ingen,Ved ikke,Socialistisk Folkeparti - SF,2.6948894850
959,20150116,Mand,71,70 år ++,Hovedstaden,Framme folk tyve stop ved grænse,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9489540164
960,20150116,Mand,57,50-59 år,Hovedstaden,for dyre mad priser,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.8621975830
961,20150116,Mand,54,50-59 år,Midtjylland,Terror,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,Dansk Folkeparti,0.5307637965
963,20150118,Mand,39,30-39 år,Midtjylland,optimering af uddannelsesniveau,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",3 børn,Vil ikke oplyse,Venstre,2.4787295076
969,20150116,Mand,52,50-59 år,Syddanmark,"""Flygtninge"" som kommer her af behagelig og på grund af vores velfærds ydelser. De tager aldrig hjem igen.",Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.5749883629
972,20150116,Kvinde,71,70 år ++,Hovedstaden,Arbejdsløshed,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Enhedslisten,0.4990627894
976,20150116,Mand,40,40-49 år,Nordjylland,Økonomi,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",3 børn,700.000-799.999 kr.,Socialdemokraterne,2.1275843036
979,20150118,Mand,56,50-59 år,Nordjylland,For mange på overførselsindkomst.,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.3723039744
984,20150116,Kvinde,43,40-49 år,Midtjylland,økonomi,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,700.000-799.999 kr.,Socialdemokraterne,2.0536558500
992,20150117,Mand,56,50-59 år,Midtjylland,konkurrence med udland,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,400.000-499.999 kr.,Socialdemokraterne,1.0973287322
995,20150116,Mand,56,50-59 år,Sjælland,at få lukket for de åbne grænser,Ved ikke,Venstre ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.7500435192
997,20150116,Mand,74,70 år ++,Syddanmark,arbejde til ledige,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,100.000-199.999 kr.,Socialdemokraterne,1.3083775642
1006,20150116,Mand,67,60-69 år,Midtjylland,"De mange flygtninge, der kommer til landet",Socialdemokratisk ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,0.5372279634
1008,20150116,Mand,68,60-69 år,Midtjylland,integration,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.3351068263
1010,20150116,Mand,55,50-59 år,Syddanmark,De arbejdsløse som ryger ud af systemet,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.5749883629
1017,20150119,Mand,62,60-69 år,Sjælland,Arbejdsløsheden,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,500.000-599.999 kr.,Venstre,0.3351068263
1018,20150116,Kvinde,45,40-49 år,Hovedstaden,Terrortrussel,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,2 børn,800.000-899.999 kr.,Venstre,1.0899456438
1020,20150116,Mand,66,60-69 år,Syddanmark,Utilpassede unge muslimer,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.3514001136
1022,20150117,Kvinde,28,18-29 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Ved ikke,Ved ikke,Husker ikke,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.7916456304
1023,20150116,Kvinde,70,70 år ++,Syddanmark,arbejdsløsheden,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.7974497499
1028,20150116,Kvinde,71,70 år ++,Hovedstaden,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.7046916973
1033,20150116,Kvinde,57,50-59 år,Syddanmark,flygtninge,Venstre ledet regering,Socialdemokratisk ledet regering,Venstre ledet regering,(Ø) Enhedslisten,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.9044521757
1035,20150116,Kvinde,65,60-69 år,Hovedstaden,flygtninge og manglende integration af indvandrere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.3351068263
1038,20150118,Mand,65,60-69 år,Hovedstaden,- En voldsom politisk højredrejning i vores samfund med temaer som fremmedhad og et lukket samfund. - Internationale klimaproblemer samt danske.,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,600.000-699.999 kr.,Enhedslisten,0.6778553997
1041,20150116,Kvinde,49,40-49 år,Hovedstaden,Tiltagende socialistisk styring (ultra-rød regering),Ved ikke,Venstre ledet regering,Ved ikke,Stemte blankt,Ved ikke,Ved ikke,Lang videregående 5 år,2 børn,600.000-699.999 kr.,,0.8917970005
1043,20150116,Mand,70,70 år ++,Midtjylland,terror trusler,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Venstre,1.0303102878
1045,20150117,Kvinde,39,30-39 år,Hovedstaden,integration,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,100.000-199.999 kr.,Dansk Folkeparti,2.3045743278
1047,20150116,Kvinde,26,18-29 år,Hovedstaden,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(Ø) Enhedslisten,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,2.8460109784
1050,20150116,Mand,25,18-29 år,Hovedstaden,ved ikke,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,Ved ikke,Grundskole,Ingen,Vil ikke oplyse,,3.0464256936
1053,20150116,Kvinde,29,18-29 år,Sjælland,et ret system der trænger til at blive kigge på.  I straffesager er det efter min mening et retsystem for den sigtede men man glemmer et retsystem for dem der står på den ande side..  Og i samværssager glemmer man børnene og lad forældrene kæmpe imod hinanden med næb og klør!! Og hvem går det ud over!!!!,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,2 børn,Vil ikke oplyse,Venstre,1.1348551341
1064,20150119,Mand,53,50-59 år,Nordjylland,Behandling af dem der har største problemer: De ledige!,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,Ved ikke,Ved ikke,Anden uddannelse,Ingen,Ved ikke,,0.8589962473
1066,20150116,Mand,33,30-39 år,Hovedstaden,miljøet,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Venstre,3.0464256936
1075,20150119,Mand,68,60-69 år,Syddanmark,"skoler, ældrepleje",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(F) Socialistisk Folkeparti - SF,,"Gymnasie, HF eller lignende",Ingen,400.000-499.999 kr.,Socialistisk Folkeparti - SF,0.5347316467
1079,20150116,Mand,39,30-39 år,Midtjylland,arbejdsløsheden,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,2 børn,300.000-399.999 kr.,Venstre,3.0464256936
1080,20150118,Kvinde,43,40-49 år,Midtjylland,ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,Lang videregående 5 år,Ingen,100.000-199.999 kr.,Enhedslisten,0.7626086301
1083,20150116,Kvinde,48,40-49 år,Syddanmark,Mangel på arbejdspladser,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Enhedslisten,2.1571442575
1101,20150117,Mand,30,30-39 år,Syddanmark,Økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,1 barn,600.000-699.999 kr.,Venstre,1.1200261303
1107,20150116,Kvinde,32,30-39 år,Sjælland,Økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,Ingen,Vil ikke oplyse,Venstre,1.3541864863
1113,20150116,Mand,49,40-49 år,Midtjylland,flygtninge/indvandrere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9840290126
1114,20150116,Kvinde,56,50-59 år,Sjælland,sociale problemer,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(F) Socialistisk Folkeparti - SF,,"Gymnasie, HF eller lignende",Ingen,200.000-299.999 kr.,Socialistisk Folkeparti - SF,1.1521399621
1116,20150116,Kvinde,80,70 år ++,Hovedstaden,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(Ø) Enhedslisten,,Grundskole,Ingen,200.000-299.999 kr.,Enhedslisten,1.9202574003
1122,20150119,Mand,69,60-69 år,Syddanmark,At opbygge en pengetank som sikkerhed for tiden efter at olieproduktionen ikke længere medfinanserer velfærdsstaten. Grøn energi bliver en økonomisk klods om benene på hele samfundet.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.3351068263
1124,20150116,Mand,58,50-59 år,Nordjylland,Islamisk stat,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,1.000.000 kr. eller derover,Socialdemokraterne,1.4325230032
1132,20150116,Mand,54,50-59 år,Hovedstaden,indvandrerer,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.6906942744
1134,20150116,Mand,74,70 år ++,Hovedstaden,For mange udenfor arbejdsmarkedet i erhvervsduelig alder.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,Lang videregående 5 år,Ingen,1.000.000 kr. eller derover,Liberal Alliance (tidligere Ny Alliance),0.5223152507
1136,20150116,Mand,62,60-69 år,Sjælland,arbejde løshed,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Anden uddannelse,Ingen,Vil ikke oplyse,Socialdemokraterne,0.5224669919
1139,20150116,Kvinde,66,60-69 år,Nordjylland,besparelser på ældre og handicappede,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.3351068263
1144,20150119,Kvinde,45,40-49 år,Hovedstaden,?,Ved ikke,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,1 barn,1.000.000 kr. eller derover,Venstre,1.1870434853
1145,20150116,Kvinde,67,60-69 år,Midtjylland,Indvandring,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Grundskole,Ingen,300.000-399.999 kr.,Venstre,0.8999086529
1148,20150116,Kvinde,64,60-69 år,Syddanmark,Vækst i DK,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,400.000-499.999 kr.,Venstre,0.3351068263
1149,20150116,Mand,53,50-59 år,Hovedstaden,For mange flygtninge,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Konservative Folkeparti,1.1451838315
1151,20150119,Kvinde,66,60-69 år,Hovedstaden,integration,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,Ved ikke,(O) Dansk Folkeparti,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.6639791520
1156,20150116,Mand,44,40-49 år,Hovedstaden,Arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Gymnasie, HF eller lignende",2 børn,800.000-899.999 kr.,Socialdemokraterne,1.5316357898
1158,20150116,Kvinde,51,50-59 år,Syddanmark,Ved ikke,Ved ikke,Ved ikke,Ved ikke,Stemte ikke,Vil ikke stemme,Andre partier,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Øvrige,0.3351068263
1160,20150117,Kvinde,77,70 år ++,Nordjylland,arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,(F) Socialistisk Folkeparti - SF,(C) Konservative Folkeparti,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Konservative Folkeparti,0.5323781132
