RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
2058,20150119,Kvinde,63,60-69 år,Nordjylland,besparelser på børneområdet,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,,0.3351068263
2059,20150118,Kvinde,67,60-69 år,Syddanmark,Arbejdsløsheden,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.5527486098
2060,20150118,Mand,51,50-59 år,Hovedstaden,"Der mangler arbejdspladser til dem, der er gode til, at bruge deres hænder ikke ikke så god til, at uddanne sig på skolebænken.",Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(V) Venstre,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,Vil ikke oplyse,Venstre,1.2181867055
2070,20150117,Kvinde,38,30-39 år,Sjælland,det alt for høje skatteniveau,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,2 børn,800.000-899.999 kr.,Venstre,1.1471370391
2073,20150117,Mand,53,50-59 år,Nordjylland,At vi ikke skal tro vi er noget,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Stemte blankt,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,,0.9998970237
2075,20150117,Mand,29,18-29 år,Nordjylland,Indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.7570632638
2078,20150117,Kvinde,34,30-39 år,Nordjylland,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,2 børn,Vil ikke oplyse,Venstre,1.3228658008
2083,20150117,Mand,28,18-29 år,Nordjylland,indvandring .  Grønlands økonomi. DANSK LANDBRUG,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Gymnasie, HF eller lignende",Ingen,500.000-599.999 kr.,Dansk Folkeparti,1.3108089354
2090,20150117,Mand,24,18-29 år,Hovedstaden,Integration af indvandrer,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(V) Venstre,"Gymnasie, HF eller lignende",Ingen,Under 100.000 kr.,Venstre,2.3045547170
2093,20150117,Kvinde,40,40-49 år,Sjælland,arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,Ved ikke,Ved ikke,Grundskole,2 børn,Vil ikke oplyse,,2.5286391367
